tree,MPD,n_leaves
FAM019597.nw,1.0296474349111109,10
FAM000297.nw,0.14341308972222225,9
FAM013944.nw,0.3380449073376344,31
FAM001698.nw,0.006992916830687829,28
FAM015543.nw,0.043184884352941176,35
FAM020642.nw,0.21165062772222223,9
FAM012355.nw,0.046705621466666666,6
FAM022503.nw,0.167959962,5
FAM005822.nw,0.027979753083333336,33
FAM028830.nw,0.18802267979999998,5
FAM007648.nw,0.22040323920000002,5
FAM016815.nw,0.19859468400000002,5
FAM005791.nw,0.19390445724182076,38
FAM008401.nw,0.022773941310344825,30
FAM017364.nw,0.07885679126666667,6
FAM005636.nw,0.25101581032380954,15
FAM016592.nw,0.20600982422222225,9
FAM013196.nw,0.6973771190181819,11
FAM006172.nw,0.03459711709848485,33
FAM015987.nw,0.4467625034183908,30
FAM022186.nw,0.31325743240000004,5
FAM021543.nw,0.5496015961904761,7
FAM022792.nw,0.06716758533333334,6
FAM005815.nw,0.6272404820261438,18
FAM002883.nw,0.2646580053145161,32
FAM001970.nw,0.3359379619999999,7
FAM021766.nw,0.3015757508,5
FAM008415.nw,0.0620595986,5
FAM013871.nw,0.22059211042735044,27
FAM015407.nw,0.6395331440666666,6
FAM018118.nw,0.3977953472857143,8
FAM009357.nw,0.11289001533033034,37
FAM008263.nw,0.36816884647619047,21
FAM009337.nw,0.038587823256410254,13
FAM019958.nw,0.3245711544,5
FAM021541.nw,0.03813610406666667,10
FAM023972.nw,0.026801593428571427,7
FAM006227.nw,1.6159227193999999,5
FAM020580.nw,0.27058727160000007,10
FAM020882.nw,0.475468528952381,7
FAM023432.nw,0.04683704993333333,6
FAM017327.nw,0.013490131600000002,5
FAM021740.nw,0.3132737078214286,8
FAM020377.nw,0.24610665306666665,6
FAM020247.nw,0.1265500336,5
FAM001257.nw,0.14699567577307693,40
FAM003582.nw,0.1109775274,6
FAM020786.nw,0.5418836062666668,6
FAM023877.nw,0.9860203228,5
FAM022524.nw,1.0143847333333333,7
FAM015077.nw,0.28202572740000004,5
FAM020596.nw,0.05508594666666667,6
FAM022674.nw,0.38904068240000006,6
FAM017751.nw,0.0363576338,5
FAM032127.nw,0.7174440860666668,6
FAM004352.nw,0.4451429232620968,32
FAM023348.nw,0.5176869912380953,7
FAM021530.nw,0.2416477956888889,10
FAM022790.nw,0.7476364900357142,8
FAM017161.nw,0.31134621,9
FAM022645.nw,0.1592701662666667,6
FAM003334.nw,0.10960619977777777,9
FAM021522.nw,0.16276889993333332,6
