File,Simulation_Type,Average_Distance
FAM001460.fasta,WAG_sampling_seq_data2_root_0,6.7484
FAM001395.fasta,WAG_sampling_seq_data2_root_0,7.7253
FAM002889.fasta,WAG_sampling_seq_data2_root_0,6.7765
FAM003092.fasta,WAG_sampling_seq_data2_root_0,6.8572
FAM003254.fasta,WAG_sampling_seq_data2_root_0,7.7286
FAM000162.fasta,WAG_sampling_seq_data2_root_0,7.2353
FAM003436.fasta,WAG_sampling_seq_data2_root_0,7.4435
FAM003742.fasta,WAG_sampling_seq_data2_root_0,7.0878
FAM002855.fasta,WAG_sampling_seq_data2_root_0,7.3243
FAM003984.fasta,WAG_sampling_seq_data2_root_0,7.1830
FAM004005.fasta,WAG_sampling_seq_data2_root_0,7.3873
FAM004287.fasta,WAG_sampling_seq_data2_root_0,5.4431
FAM003979.fasta,WAG_sampling_seq_data2_root_0,7.0798
FAM004568.fasta,WAG_sampling_seq_data2_root_0,7.4952
FAM004230.fasta,WAG_sampling_seq_data2_root_0,7.5710
FAM002486.fasta,WAG_sampling_seq_data2_root_0,7.0998
FAM005630.fasta,WAG_sampling_seq_data2_root_0,7.8043
FAM003440.fasta,WAG_sampling_seq_data2_root_0,6.7892
FAM005791.fasta,WAG_sampling_seq_data2_root_0,7.5412
FAM006786.fasta,WAG_sampling_seq_data2_root_0,6.6164
FAM006455.fasta,WAG_sampling_seq_data2_root_0,7.3558
FAM005368.fasta,WAG_sampling_seq_data2_root_0,7.8475
FAM006991.fasta,WAG_sampling_seq_data2_root_0,7.3970
FAM007266.fasta,WAG_sampling_seq_data2_root_0,6.7536
FAM007551.fasta,WAG_sampling_seq_data2_root_0,6.7901
FAM007965.fasta,WAG_sampling_seq_data2_root_0,6.9265
FAM006868.fasta,WAG_sampling_seq_data2_root_0,6.7354
FAM008137.fasta,WAG_sampling_seq_data2_root_0,6.6165
FAM007035.fasta,WAG_sampling_seq_data2_root_0,6.7410
FAM008210.fasta,WAG_sampling_seq_data2_root_0,7.2463
FAM008280.fasta,WAG_sampling_seq_data2_root_0,7.3242
FAM008956.fasta,WAG_sampling_seq_data2_root_0,6.9318
FAM006259.fasta,WAG_sampling_seq_data2_root_0,7.4211
FAM009320.fasta,WAG_sampling_seq_data2_root_0,7.0019
FAM008420.fasta,WAG_sampling_seq_data2_root_0,7.3750
FAM009650.fasta,WAG_sampling_seq_data2_root_0,7.8945
FAM009083.fasta,WAG_sampling_seq_data2_root_0,7.9915
FAM009714.fasta,WAG_sampling_seq_data2_root_0,6.4849
FAM009365.fasta,WAG_sampling_seq_data2_root_0,6.7494
FAM010218.fasta,WAG_sampling_seq_data2_root_0,7.5097
FAM009901.fasta,WAG_sampling_seq_data2_root_0,6.5374
FAM010324.fasta,WAG_sampling_seq_data2_root_0,6.9491
FAM010916.fasta,WAG_sampling_seq_data2_root_0,6.8845
FAM010199.fasta,WAG_sampling_seq_data2_root_0,7.4068
FAM010935.fasta,WAG_sampling_seq_data2_root_0,6.9268
FAM011393.fasta,WAG_sampling_seq_data2_root_0,6.5955
FAM008183.fasta,WAG_sampling_seq_data2_root_0,7.2283
FAM011513.fasta,WAG_sampling_seq_data2_root_0,6.6612
FAM011705.fasta,WAG_sampling_seq_data2_root_0,6.7872
FAM010908.fasta,WAG_sampling_seq_data2_root_0,7.1491
FAM011952.fasta,WAG_sampling_seq_data2_root_0,7.5607
FAM011992.fasta,WAG_sampling_seq_data2_root_0,6.7951
FAM011841.fasta,WAG_sampling_seq_data2_root_0,6.4286
FAM012463.fasta,WAG_sampling_seq_data2_root_0,7.3392
FAM012052.fasta,WAG_sampling_seq_data2_root_0,7.6053
FAM011182.fasta,WAG_sampling_seq_data2_root_0,7.3712
FAM012556.fasta,WAG_sampling_seq_data2_root_0,7.0097
FAM011968.fasta,WAG_sampling_seq_data2_root_0,6.9661
FAM012720.fasta,WAG_sampling_seq_data2_root_0,7.8543
FAM012799.fasta,WAG_sampling_seq_data2_root_0,7.0130
FAM012802.fasta,WAG_sampling_seq_data2_root_0,6.7000
FAM012140.fasta,WAG_sampling_seq_data2_root_0,7.2035
FAM012882.fasta,WAG_sampling_seq_data2_root_0,6.7832
FAM013137.fasta,WAG_sampling_seq_data2_root_0,7.0684
FAM012865.fasta,WAG_sampling_seq_data2_root_0,6.9294
FAM013161.fasta,WAG_sampling_seq_data2_root_0,6.4454
FAM012607.fasta,WAG_sampling_seq_data2_root_0,6.7915
FAM012910.fasta,WAG_sampling_seq_data2_root_0,7.3304
FAM013190.fasta,WAG_sampling_seq_data2_root_0,6.8917
FAM013064.fasta,WAG_sampling_seq_data2_root_0,6.6563
FAM013698.fasta,WAG_sampling_seq_data2_root_0,7.7359
FAM013595.fasta,WAG_sampling_seq_data2_root_0,6.2727
FAM013310.fasta,WAG_sampling_seq_data2_root_0,7.0209
FAM013846.fasta,WAG_sampling_seq_data2_root_0,6.5760
FAM013733.fasta,WAG_sampling_seq_data2_root_0,6.8207
FAM014243.fasta,WAG_sampling_seq_data2_root_0,7.7850
FAM013215.fasta,WAG_sampling_seq_data2_root_0,6.8820
FAM014058.fasta,WAG_sampling_seq_data2_root_0,6.9574
FAM014246.fasta,WAG_sampling_seq_data2_root_0,6.6211
FAM014203.fasta,WAG_sampling_seq_data2_root_0,7.0217
FAM013551.fasta,WAG_sampling_seq_data2_root_0,7.2857
FAM014269.fasta,WAG_sampling_seq_data2_root_0,6.5552
FAM014261.fasta,WAG_sampling_seq_data2_root_0,6.8677
FAM014315.fasta,WAG_sampling_seq_data2_root_0,6.6821
FAM014320.fasta,WAG_sampling_seq_data2_root_0,6.8223
FAM014456.fasta,WAG_sampling_seq_data2_root_0,6.6311
FAM014263.fasta,WAG_sampling_seq_data2_root_0,6.4799
FAM014364.fasta,WAG_sampling_seq_data2_root_0,6.6726
FAM014518.fasta,WAG_sampling_seq_data2_root_0,7.5078
FAM014482.fasta,WAG_sampling_seq_data2_root_0,6.6448
FAM014428.fasta,WAG_sampling_seq_data2_root_0,6.5080
FAM014562.fasta,WAG_sampling_seq_data2_root_0,5.5032
FAM014552.fasta,WAG_sampling_seq_data2_root_0,5.9202
FAM014513.fasta,WAG_sampling_seq_data2_root_0,6.4975
FAM014575.fasta,WAG_sampling_seq_data2_root_0,4.0897
FAM014601.fasta,WAG_sampling_seq_data2_root_0,6.4930
FAM014632.fasta,WAG_sampling_seq_data2_root_0,6.5311
FAM014683.fasta,WAG_sampling_seq_data2_root_0,6.4450
FAM014455.fasta,WAG_sampling_seq_data2_root_0,6.8491
FAM014668.fasta,WAG_sampling_seq_data2_root_0,6.9248
FAM014698.fasta,WAG_sampling_seq_data2_root_0,7.0494
FAM014702.fasta,WAG_sampling_seq_data2_root_0,6.3810
FAM014720.fasta,WAG_sampling_seq_data2_root_0,6.7485
FAM014697.fasta,WAG_sampling_seq_data2_root_0,6.6041
FAM014750.fasta,WAG_sampling_seq_data2_root_0,6.5410
FAM014811.fasta,WAG_sampling_seq_data2_root_0,6.3285
FAM014860.fasta,WAG_sampling_seq_data2_root_0,7.2193
FAM014818.fasta,WAG_sampling_seq_data2_root_0,5.3879
FAM014813.fasta,WAG_sampling_seq_data2_root_0,4.4768
FAM014882.fasta,WAG_sampling_seq_data2_root_0,6.6006
FAM014886.fasta,WAG_sampling_seq_data2_root_0,6.5676
FAM014897.fasta,WAG_sampling_seq_data2_root_0,6.5018
FAM014900.fasta,WAG_sampling_seq_data2_root_0,6.7776
FAM014677.fasta,WAG_sampling_seq_data2_root_0,6.6514
FAM014909.fasta,WAG_sampling_seq_data2_root_0,6.5855
FAM014922.fasta,WAG_sampling_seq_data2_root_0,6.6133
FAM014723.fasta,WAG_sampling_seq_data2_root_0,6.7597
FAM014929.fasta,WAG_sampling_seq_data2_root_0,7.6633
FAM014923.fasta,WAG_sampling_seq_data2_root_0,6.6847
FAM015039.fasta,WAG_sampling_seq_data2_root_0,5.8116
FAM015052.fasta,WAG_sampling_seq_data2_root_0,6.5356
FAM014911.fasta,WAG_sampling_seq_data2_root_0,6.8942
FAM015005.fasta,WAG_sampling_seq_data2_root_0,6.6891
FAM015061.fasta,WAG_sampling_seq_data2_root_0,6.7167
FAM015021.fasta,WAG_sampling_seq_data2_root_0,6.4629
FAM015083.fasta,WAG_sampling_seq_data2_root_0,7.0117
FAM015105.fasta,WAG_sampling_seq_data2_root_0,5.9641
FAM014907.fasta,WAG_sampling_seq_data2_root_0,6.6080
FAM015171.fasta,WAG_sampling_seq_data2_root_0,6.8436
FAM015096.fasta,WAG_sampling_seq_data2_root_0,6.3249
