File,Simulation_Type,Average_Distance
FAM001460.fasta,WAG_frequencies_posterior_extra_length_ext_0.05,0.1207
FAM001395.fasta,WAG_frequencies_posterior_extra_length_ext_0.05,0.3964
FAM002889.fasta,WAG_frequencies_posterior_extra_length_ext_0.05,0.2575
FAM000162.fasta,WAG_frequencies_posterior_extra_length_ext_0.05,0.2844
FAM003254.fasta,WAG_frequencies_posterior_extra_length_ext_0.05,0.2742
FAM003092.fasta,WAG_frequencies_posterior_extra_length_ext_0.05,0.1587
FAM003436.fasta,WAG_frequencies_posterior_extra_length_ext_0.05,0.2009
FAM003742.fasta,WAG_frequencies_posterior_extra_length_ext_0.05,0.2645
FAM003984.fasta,WAG_frequencies_posterior_extra_length_ext_0.05,0.2415
FAM004005.fasta,WAG_frequencies_posterior_extra_length_ext_0.05,0.1611
FAM002855.fasta,WAG_frequencies_posterior_extra_length_ext_0.05,0.1996
FAM003979.fasta,WAG_frequencies_posterior_extra_length_ext_0.05,0.2193
FAM004287.fasta,WAG_frequencies_posterior_extra_length_ext_0.05,0.0874
FAM004568.fasta,WAG_frequencies_posterior_extra_length_ext_0.05,0.2967
FAM004230.fasta,WAG_frequencies_posterior_extra_length_ext_0.05,0.2194
FAM002486.fasta,WAG_frequencies_posterior_extra_length_ext_0.05,0.1479
FAM005630.fasta,WAG_frequencies_posterior_extra_length_ext_0.05,0.1198
FAM005791.fasta,WAG_frequencies_posterior_extra_length_ext_0.05,0.1015
FAM003440.fasta,WAG_frequencies_posterior_extra_length_ext_0.05,0.1056
FAM006786.fasta,WAG_frequencies_posterior_extra_length_ext_0.05,0.1239
FAM006991.fasta,WAG_frequencies_posterior_extra_length_ext_0.05,0.2520
FAM006455.fasta,WAG_frequencies_posterior_extra_length_ext_0.05,0.2519
FAM005368.fasta,WAG_frequencies_posterior_extra_length_ext_0.05,0.1640
FAM007266.fasta,WAG_frequencies_posterior_extra_length_ext_0.05,0.1061
FAM006868.fasta,WAG_frequencies_posterior_extra_length_ext_0.05,0.0819
FAM007965.fasta,WAG_frequencies_posterior_extra_length_ext_0.05,0.1162
FAM008137.fasta,WAG_frequencies_posterior_extra_length_ext_0.05,0.1595
FAM007035.fasta,WAG_frequencies_posterior_extra_length_ext_0.05,0.2887
FAM007551.fasta,WAG_frequencies_posterior_extra_length_ext_0.05,0.1005
FAM008280.fasta,WAG_frequencies_posterior_extra_length_ext_0.05,0.1872
FAM008210.fasta,WAG_frequencies_posterior_extra_length_ext_0.05,0.1847
FAM008420.fasta,WAG_frequencies_posterior_extra_length_ext_0.05,0.2786
FAM009320.fasta,WAG_frequencies_posterior_extra_length_ext_0.05,0.1575
FAM008956.fasta,WAG_frequencies_posterior_extra_length_ext_0.05,0.2401
FAM009650.fasta,WAG_frequencies_posterior_extra_length_ext_0.05,0.0539
FAM009083.fasta,WAG_frequencies_posterior_extra_length_ext_0.05,0.2105
FAM009714.fasta,WAG_frequencies_posterior_extra_length_ext_0.05,0.0886
FAM009365.fasta,WAG_frequencies_posterior_extra_length_ext_0.05,0.1969
FAM010218.fasta,WAG_frequencies_posterior_extra_length_ext_0.05,0.2067
FAM009901.fasta,WAG_frequencies_posterior_extra_length_ext_0.05,0.1093
FAM006259.fasta,WAG_frequencies_posterior_extra_length_ext_0.05,0.1274
FAM010199.fasta,WAG_frequencies_posterior_extra_length_ext_0.05,0.1776
FAM010916.fasta,WAG_frequencies_posterior_extra_length_ext_0.05,0.1396
FAM008183.fasta,WAG_frequencies_posterior_extra_length_ext_0.05,0.1708
FAM010324.fasta,WAG_frequencies_posterior_extra_length_ext_0.05,0.1481
FAM010935.fasta,WAG_frequencies_posterior_extra_length_ext_0.05,0.1510
FAM011393.fasta,WAG_frequencies_posterior_extra_length_ext_0.05,0.1841
FAM011513.fasta,WAG_frequencies_posterior_extra_length_ext_0.05,0.1510
FAM011705.fasta,WAG_frequencies_posterior_extra_length_ext_0.05,0.1383
FAM011841.fasta,WAG_frequencies_posterior_extra_length_ext_0.05,0.1028
FAM011952.fasta,WAG_frequencies_posterior_extra_length_ext_0.05,0.1587
FAM011992.fasta,WAG_frequencies_posterior_extra_length_ext_0.05,0.2032
FAM010908.fasta,WAG_frequencies_posterior_extra_length_ext_0.05,0.1020
FAM012463.fasta,WAG_frequencies_posterior_extra_length_ext_0.05,0.1931
FAM012556.fasta,WAG_frequencies_posterior_extra_length_ext_0.05,0.1582
