File,Simulation_Type,Average_Distance
FAM001460.fasta,WAG_frequencies_sampling_seq,0.4183
FAM001395.fasta,WAG_frequencies_sampling_seq,1.4971
FAM002889.fasta,WAG_frequencies_sampling_seq,1.2783
FAM003254.fasta,WAG_frequencies_sampling_seq,1.6523
FAM003092.fasta,WAG_frequencies_sampling_seq,1.2181
FAM003436.fasta,WAG_frequencies_sampling_seq,1.1543
FAM000162.fasta,WAG_frequencies_sampling_seq,1.0919
FAM003979.fasta,WAG_frequencies_sampling_seq,1.0787
FAM003742.fasta,WAG_frequencies_sampling_seq,1.0870
FAM002855.fasta,WAG_frequencies_sampling_seq,1.0867
FAM003984.fasta,WAG_frequencies_sampling_seq,1.2902
FAM004005.fasta,WAG_frequencies_sampling_seq,1.1840
FAM004568.fasta,WAG_frequencies_sampling_seq,1.7289
FAM004287.fasta,WAG_frequencies_sampling_seq,0.4337
FAM002486.fasta,WAG_frequencies_sampling_seq,1.0302
FAM004230.fasta,WAG_frequencies_sampling_seq,1.2288
FAM005630.fasta,WAG_frequencies_sampling_seq,1.2929
FAM003440.fasta,WAG_frequencies_sampling_seq,0.8741
FAM005791.fasta,WAG_frequencies_sampling_seq,1.3061
FAM006786.fasta,WAG_frequencies_sampling_seq,0.6182
FAM006455.fasta,WAG_frequencies_sampling_seq,1.2508
FAM005368.fasta,WAG_frequencies_sampling_seq,1.4796
FAM006991.fasta,WAG_frequencies_sampling_seq,1.2399
FAM007266.fasta,WAG_frequencies_sampling_seq,0.2882
FAM006868.fasta,WAG_frequencies_sampling_seq,0.8220
FAM007965.fasta,WAG_frequencies_sampling_seq,0.4905
FAM008137.fasta,WAG_frequencies_sampling_seq,0.6660
FAM007035.fasta,WAG_frequencies_sampling_seq,1.0131
FAM007551.fasta,WAG_frequencies_sampling_seq,0.6355
FAM008280.fasta,WAG_frequencies_sampling_seq,1.2661
FAM008210.fasta,WAG_frequencies_sampling_seq,0.8881
FAM008420.fasta,WAG_frequencies_sampling_seq,0.9881
FAM008956.fasta,WAG_frequencies_sampling_seq,0.7324
FAM009320.fasta,WAG_frequencies_sampling_seq,0.4024
FAM009650.fasta,WAG_frequencies_sampling_seq,0.0372
FAM009714.fasta,WAG_frequencies_sampling_seq,0.2207
FAM009365.fasta,WAG_frequencies_sampling_seq,0.8743
FAM009083.fasta,WAG_frequencies_sampling_seq,1.3085
FAM006259.fasta,WAG_frequencies_sampling_seq,1.3168
FAM010218.fasta,WAG_frequencies_sampling_seq,1.2816
FAM010199.fasta,WAG_frequencies_sampling_seq,1.4200
FAM009901.fasta,WAG_frequencies_sampling_seq,0.7638
FAM010916.fasta,WAG_frequencies_sampling_seq,0.5803
FAM010935.fasta,WAG_frequencies_sampling_seq,1.1743
FAM010324.fasta,WAG_frequencies_sampling_seq,1.1504
FAM011393.fasta,WAG_frequencies_sampling_seq,0.6383
FAM008183.fasta,WAG_frequencies_sampling_seq,1.5532
FAM011513.fasta,WAG_frequencies_sampling_seq,0.9441
FAM011705.fasta,WAG_frequencies_sampling_seq,0.8462
FAM011841.fasta,WAG_frequencies_sampling_seq,0.3749
FAM011952.fasta,WAG_frequencies_sampling_seq,0.8556
FAM011992.fasta,WAG_frequencies_sampling_seq,0.6949
FAM010908.fasta,WAG_frequencies_sampling_seq,1.3622
FAM012463.fasta,WAG_frequencies_sampling_seq,1.7781
FAM011182.fasta,WAG_frequencies_sampling_seq,1.2576
FAM012052.fasta,WAG_frequencies_sampling_seq,0.8589
FAM011968.fasta,WAG_frequencies_sampling_seq,1.4702
FAM012556.fasta,WAG_frequencies_sampling_seq,1.2060
FAM012802.fasta,WAG_frequencies_sampling_seq,0.4683
FAM012720.fasta,WAG_frequencies_sampling_seq,1.7280
FAM012799.fasta,WAG_frequencies_sampling_seq,0.9654
FAM012140.fasta,WAG_frequencies_sampling_seq,0.9848
