File,Simulation_Type,Average_Distance
FAM001460.fasta,WAG_frequencies_posterior_extra_length_ext_0,0.1897
FAM001395.fasta,WAG_frequencies_posterior_extra_length_ext_0,1.1069
FAM002889.fasta,WAG_frequencies_posterior_extra_length_ext_0,0.5609
FAM003254.fasta,WAG_frequencies_posterior_extra_length_ext_0,0.8047
FAM003436.fasta,WAG_frequencies_posterior_extra_length_ext_0,0.5018
FAM003092.fasta,WAG_frequencies_posterior_extra_length_ext_0,0.2790
FAM000162.fasta,WAG_frequencies_posterior_extra_length_ext_0,0.7694
FAM003742.fasta,WAG_frequencies_posterior_extra_length_ext_0,0.6138
FAM003984.fasta,WAG_frequencies_posterior_extra_length_ext_0,0.5374
FAM004005.fasta,WAG_frequencies_posterior_extra_length_ext_0,0.3991
FAM003979.fasta,WAG_frequencies_posterior_extra_length_ext_0,0.4811
FAM002855.fasta,WAG_frequencies_posterior_extra_length_ext_0,0.3938
FAM004568.fasta,WAG_frequencies_posterior_extra_length_ext_0,0.9066
FAM004287.fasta,WAG_frequencies_posterior_extra_length_ext_0,0.1294
FAM002486.fasta,WAG_frequencies_posterior_extra_length_ext_0,0.2781
FAM004230.fasta,WAG_frequencies_posterior_extra_length_ext_0,0.4667
FAM003440.fasta,WAG_frequencies_posterior_extra_length_ext_0,0.1499
FAM005630.fasta,WAG_frequencies_posterior_extra_length_ext_0,0.1903
FAM006786.fasta,WAG_frequencies_posterior_extra_length_ext_0,0.2450
FAM005791.fasta,WAG_frequencies_posterior_extra_length_ext_0,0.1583
FAM006991.fasta,WAG_frequencies_posterior_extra_length_ext_0,0.6088
FAM006868.fasta,WAG_frequencies_posterior_extra_length_ext_0,0.1078
FAM007266.fasta,WAG_frequencies_posterior_extra_length_ext_0,0.1226
FAM006455.fasta,WAG_frequencies_posterior_extra_length_ext_0,0.4877
FAM007035.fasta,WAG_frequencies_posterior_extra_length_ext_0,0.5933
FAM007965.fasta,WAG_frequencies_posterior_extra_length_ext_0,0.2220
FAM008137.fasta,WAG_frequencies_posterior_extra_length_ext_0,0.2781
FAM007551.fasta,WAG_frequencies_posterior_extra_length_ext_0,0.2499
FAM005368.fasta,WAG_frequencies_posterior_extra_length_ext_0,0.3453
FAM008210.fasta,WAG_frequencies_posterior_extra_length_ext_0,0.3785
FAM008280.fasta,WAG_frequencies_posterior_extra_length_ext_0,0.5279
FAM008956.fasta,WAG_frequencies_posterior_extra_length_ext_0,0.5230
FAM009320.fasta,WAG_frequencies_posterior_extra_length_ext_0,0.2882
FAM008420.fasta,WAG_frequencies_posterior_extra_length_ext_0,0.6906
FAM009650.fasta,WAG_frequencies_posterior_extra_length_ext_0,0.0307
FAM009083.fasta,WAG_frequencies_posterior_extra_length_ext_0,0.5290
FAM009714.fasta,WAG_frequencies_posterior_extra_length_ext_0,0.1179
FAM009365.fasta,WAG_frequencies_posterior_extra_length_ext_0,0.3935
FAM010218.fasta,WAG_frequencies_posterior_extra_length_ext_0,0.3762
FAM009901.fasta,WAG_frequencies_posterior_extra_length_ext_0,0.1579
FAM010199.fasta,WAG_frequencies_posterior_extra_length_ext_0,0.4132
FAM006259.fasta,WAG_frequencies_posterior_extra_length_ext_0,0.2053
FAM010916.fasta,WAG_frequencies_posterior_extra_length_ext_0,0.2430
FAM010935.fasta,WAG_frequencies_posterior_extra_length_ext_0,0.3132
FAM008183.fasta,WAG_frequencies_posterior_extra_length_ext_0,0.3820
FAM011393.fasta,WAG_frequencies_posterior_extra_length_ext_0,0.3659
FAM010324.fasta,WAG_frequencies_posterior_extra_length_ext_0,0.2933
FAM011513.fasta,WAG_frequencies_posterior_extra_length_ext_0,0.3408
FAM011705.fasta,WAG_frequencies_posterior_extra_length_ext_0,0.2533
FAM011841.fasta,WAG_frequencies_posterior_extra_length_ext_0,0.1274
FAM011992.fasta,WAG_frequencies_posterior_extra_length_ext_0,0.3800
FAM011952.fasta,WAG_frequencies_posterior_extra_length_ext_0,0.3522
FAM010908.fasta,WAG_frequencies_posterior_extra_length_ext_0,0.1321
FAM012052.fasta,WAG_frequencies_posterior_extra_length_ext_0,0.3172
FAM011182.fasta,WAG_frequencies_posterior_extra_length_ext_0,0.2354
FAM012463.fasta,WAG_frequencies_posterior_extra_length_ext_0,0.5291
FAM011968.fasta,WAG_frequencies_posterior_extra_length_ext_0,0.3587
FAM012556.fasta,WAG_frequencies_posterior_extra_length_ext_0,0.3024
FAM012802.fasta,WAG_frequencies_posterior_extra_length_ext_0,0.1497
FAM012720.fasta,WAG_frequencies_posterior_extra_length_ext_0,0.6815
FAM012882.fasta,WAG_frequencies_posterior_extra_length_ext_0,0.3405
FAM012799.fasta,WAG_frequencies_posterior_extra_length_ext_0,0.4308
FAM012865.fasta,WAG_frequencies_posterior_extra_length_ext_0,0.1763
FAM012140.fasta,WAG_frequencies_posterior_extra_length_ext_0,0.1446
FAM012910.fasta,WAG_frequencies_posterior_extra_length_ext_0,0.3868
