File,Simulation_Type,Average_Distance
FAM001395.fasta,DSO78_frequencies,7.2537
FAM001460.fasta,DSO78_frequencies,5.6860
FAM002889.fasta,DSO78_frequencies,6.8959
FAM000162.fasta,DSO78_frequencies,7.1109
FAM003092.fasta,DSO78_frequencies,6.8508
FAM003254.fasta,DSO78_frequencies,7.3333
FAM003436.fasta,DSO78_frequencies,6.9367
FAM002855.fasta,DSO78_frequencies,7.0931
FAM003742.fasta,DSO78_frequencies,6.8916
FAM003979.fasta,DSO78_frequencies,7.6355
FAM004005.fasta,DSO78_frequencies,4.9624
FAM003984.fasta,DSO78_frequencies,7.5435
FAM004287.fasta,DSO78_frequencies,6.9390
FAM004568.fasta,DSO78_frequencies,7.6151
FAM002486.fasta,DSO78_frequencies,6.9864
FAM004230.fasta,DSO78_frequencies,6.8173
FAM005630.fasta,DSO78_frequencies,7.1137
FAM005791.fasta,DSO78_frequencies,7.4885
FAM006786.fasta,DSO78_frequencies,6.7118
FAM005368.fasta,DSO78_frequencies,7.4369
FAM006991.fasta,DSO78_frequencies,7.2734
FAM006455.fasta,DSO78_frequencies,6.9402
FAM007266.fasta,DSO78_frequencies,5.1581
FAM003440.fasta,DSO78_frequencies,7.2789
FAM006868.fasta,DSO78_frequencies,6.6722
FAM007965.fasta,DSO78_frequencies,7.2063
FAM007551.fasta,DSO78_frequencies,7.7431
FAM008137.fasta,DSO78_frequencies,6.0918
FAM007035.fasta,DSO78_frequencies,7.2655
FAM008280.fasta,DSO78_frequencies,8.0583
FAM008420.fasta,DSO78_frequencies,7.4007
FAM008956.fasta,DSO78_frequencies,7.0160
FAM008210.fasta,DSO78_frequencies,6.8400
FAM009320.fasta,DSO78_frequencies,6.4775
FAM009650.fasta,DSO78_frequencies,8.6846
FAM009714.fasta,DSO78_frequencies,6.5706
FAM009365.fasta,DSO78_frequencies,6.9143
FAM009083.fasta,DSO78_frequencies,7.7684
FAM006259.fasta,DSO78_frequencies,7.7771
FAM010218.fasta,DSO78_frequencies,7.4262
FAM010324.fasta,DSO78_frequencies,7.0101
FAM009901.fasta,DSO78_frequencies,6.7200
FAM010199.fasta,DSO78_frequencies,7.1842
FAM010916.fasta,DSO78_frequencies,6.3788
FAM010935.fasta,DSO78_frequencies,6.7876
FAM011513.fasta,DSO78_frequencies,6.6343
FAM011393.fasta,DSO78_frequencies,7.0100
FAM011705.fasta,DSO78_frequencies,6.9921
FAM008183.fasta,DSO78_frequencies,7.1144
FAM010908.fasta,DSO78_frequencies,6.9495
FAM011841.fasta,DSO78_frequencies,7.1750
FAM011952.fasta,DSO78_frequencies,7.0299
FAM011992.fasta,DSO78_frequencies,6.8027
FAM012463.fasta,DSO78_frequencies,5.0875
FAM011182.fasta,DSO78_frequencies,6.7928
FAM012052.fasta,DSO78_frequencies,7.5740
FAM012556.fasta,DSO78_frequencies,6.9974
FAM012720.fasta,DSO78_frequencies,7.4612
FAM011968.fasta,DSO78_frequencies,7.4131
FAM012799.fasta,DSO78_frequencies,6.9666
FAM012802.fasta,DSO78_frequencies,6.6912
FAM012882.fasta,DSO78_frequencies,6.8804
FAM012607.fasta,DSO78_frequencies,6.7874
FAM012140.fasta,DSO78_frequencies,6.7952
FAM012865.fasta,DSO78_frequencies,6.7035
