File,Simulation_Type,Average_Distance
FAM001460.fasta,WAG_frequencies,6.6806
FAM001395.fasta,WAG_frequencies,7.2429
FAM002889.fasta,WAG_frequencies,7.3665
FAM003092.fasta,WAG_frequencies,6.9322
FAM003254.fasta,WAG_frequencies,7.6449
FAM000162.fasta,WAG_frequencies,7.0929
FAM003436.fasta,WAG_frequencies,6.8809
FAM003742.fasta,WAG_frequencies,7.0977
FAM002855.fasta,WAG_frequencies,7.3468
FAM003984.fasta,WAG_frequencies,8.2715
FAM003979.fasta,WAG_frequencies,7.2614
FAM004005.fasta,WAG_frequencies,6.0970
FAM004287.fasta,WAG_frequencies,6.6270
FAM002486.fasta,WAG_frequencies,7.0018
FAM004568.fasta,WAG_frequencies,7.2377
FAM004230.fasta,WAG_frequencies,7.5019
FAM005630.fasta,WAG_frequencies,6.8597
FAM003440.fasta,WAG_frequencies,6.9510
FAM006786.fasta,WAG_frequencies,7.0698
FAM005791.fasta,WAG_frequencies,6.9774
FAM005368.fasta,WAG_frequencies,7.2239
FAM006991.fasta,WAG_frequencies,6.8478
FAM006455.fasta,WAG_frequencies,7.1200
FAM007266.fasta,WAG_frequencies,6.5262
FAM006868.fasta,WAG_frequencies,6.7046
FAM007965.fasta,WAG_frequencies,7.3952
FAM008137.fasta,WAG_frequencies,6.6336
FAM007035.fasta,WAG_frequencies,7.1892
FAM007551.fasta,WAG_frequencies,5.7663
FAM008280.fasta,WAG_frequencies,8.5117
FAM008210.fasta,WAG_frequencies,7.0093
FAM008420.fasta,WAG_frequencies,6.8953
FAM009320.fasta,WAG_frequencies,6.5371
FAM008956.fasta,WAG_frequencies,7.0625
FAM009650.fasta,WAG_frequencies,8.1205
FAM006259.fasta,WAG_frequencies,7.3666
FAM009714.fasta,WAG_frequencies,7.1289
FAM009083.fasta,WAG_frequencies,7.5322
FAM009365.fasta,WAG_frequencies,6.9527
FAM009901.fasta,WAG_frequencies,6.6480
FAM010218.fasta,WAG_frequencies,6.8722
FAM010916.fasta,WAG_frequencies,5.6629
FAM010199.fasta,WAG_frequencies,7.3077
FAM010935.fasta,WAG_frequencies,7.3031
