File,Simulation_Type,Average_Distance
FAM001395.fasta,WAG_sampling_seq_root_0.05,1.6482
FAM001460.fasta,WAG_sampling_seq_root_0.05,0.4423
FAM002889.fasta,WAG_sampling_seq_root_0.05,1.3117
FAM003092.fasta,WAG_sampling_seq_root_0.05,1.2722
FAM003254.fasta,WAG_sampling_seq_root_0.05,1.5024
FAM000162.fasta,WAG_sampling_seq_root_0.05,1.2107
FAM003436.fasta,WAG_sampling_seq_root_0.05,1.1562
FAM003742.fasta,WAG_sampling_seq_root_0.05,1.1046
FAM002486.fasta,WAG_sampling_seq_root_0.05,1.0300
FAM002855.fasta,WAG_sampling_seq_root_0.05,1.1101
FAM003984.fasta,WAG_sampling_seq_root_0.05,1.1807
FAM004287.fasta,WAG_sampling_seq_root_0.05,0.5012
FAM004005.fasta,WAG_sampling_seq_root_0.05,1.2080
FAM003979.fasta,WAG_sampling_seq_root_0.05,1.2235
FAM004568.fasta,WAG_sampling_seq_root_0.05,1.4845
FAM004230.fasta,WAG_sampling_seq_root_0.05,1.2504
FAM003440.fasta,WAG_sampling_seq_root_0.05,0.9137
FAM005630.fasta,WAG_sampling_seq_root_0.05,1.4213
FAM006786.fasta,WAG_sampling_seq_root_0.05,0.7192
FAM005791.fasta,WAG_sampling_seq_root_0.05,1.5884
FAM006991.fasta,WAG_sampling_seq_root_0.05,1.2561
FAM006868.fasta,WAG_sampling_seq_root_0.05,0.8212
FAM006455.fasta,WAG_sampling_seq_root_0.05,1.4184
FAM005368.fasta,WAG_sampling_seq_root_0.05,1.3900
FAM007266.fasta,WAG_sampling_seq_root_0.05,0.2299
FAM007965.fasta,WAG_sampling_seq_root_0.05,0.4722
FAM008137.fasta,WAG_sampling_seq_root_0.05,0.8631
FAM007551.fasta,WAG_sampling_seq_root_0.05,0.6210
FAM007035.fasta,WAG_sampling_seq_root_0.05,1.1160
FAM008420.fasta,WAG_sampling_seq_root_0.05,1.0041
FAM008280.fasta,WAG_sampling_seq_root_0.05,1.5247
FAM008210.fasta,WAG_sampling_seq_root_0.05,1.0104
FAM008956.fasta,WAG_sampling_seq_root_0.05,0.8264
FAM009320.fasta,WAG_sampling_seq_root_0.05,0.4729
FAM009650.fasta,WAG_sampling_seq_root_0.05,0.1312
FAM009714.fasta,WAG_sampling_seq_root_0.05,0.2125
FAM009083.fasta,WAG_sampling_seq_root_0.05,1.4140
FAM009365.fasta,WAG_sampling_seq_root_0.05,0.9534
FAM010218.fasta,WAG_sampling_seq_root_0.05,1.5073
FAM009901.fasta,WAG_sampling_seq_root_0.05,0.7019
FAM006259.fasta,WAG_sampling_seq_root_0.05,1.2005
FAM010199.fasta,WAG_sampling_seq_root_0.05,1.3485
FAM008183.fasta,WAG_sampling_seq_root_0.05,1.6435
FAM010916.fasta,WAG_sampling_seq_root_0.05,0.5631
FAM010935.fasta,WAG_sampling_seq_root_0.05,1.2089
FAM011393.fasta,WAG_sampling_seq_root_0.05,0.5855
FAM010324.fasta,WAG_sampling_seq_root_0.05,1.3286
FAM011513.fasta,WAG_sampling_seq_root_0.05,0.9948
FAM011705.fasta,WAG_sampling_seq_root_0.05,0.9867
FAM011841.fasta,WAG_sampling_seq_root_0.05,0.3967
FAM011952.fasta,WAG_sampling_seq_root_0.05,0.8553
FAM011992.fasta,WAG_sampling_seq_root_0.05,0.9012
FAM010908.fasta,WAG_sampling_seq_root_0.05,1.3998
FAM012052.fasta,WAG_sampling_seq_root_0.05,1.0300
FAM012463.fasta,WAG_sampling_seq_root_0.05,1.3861
FAM011968.fasta,WAG_sampling_seq_root_0.05,1.5419
FAM012556.fasta,WAG_sampling_seq_root_0.05,1.2210
FAM011182.fasta,WAG_sampling_seq_root_0.05,1.4625
FAM012802.fasta,WAG_sampling_seq_root_0.05,0.5253
FAM012720.fasta,WAG_sampling_seq_root_0.05,1.9177
FAM012799.fasta,WAG_sampling_seq_root_0.05,1.1396
FAM012882.fasta,WAG_sampling_seq_root_0.05,0.7947
FAM012140.fasta,WAG_sampling_seq_root_0.05,1.1611
FAM012865.fasta,WAG_sampling_seq_root_0.05,1.1550
FAM013137.fasta,WAG_sampling_seq_root_0.05,0.9088
FAM013161.fasta,WAG_sampling_seq_root_0.05,0.4142
FAM012910.fasta,WAG_sampling_seq_root_0.05,1.0656
FAM013064.fasta,WAG_sampling_seq_root_0.05,0.6893
FAM012607.fasta,WAG_sampling_seq_root_0.05,0.7319
FAM013190.fasta,WAG_sampling_seq_root_0.05,1.1226
FAM013310.fasta,WAG_sampling_seq_root_0.05,1.0701
FAM013595.fasta,WAG_sampling_seq_root_0.05,0.7303
FAM013698.fasta,WAG_sampling_seq_root_0.05,0.9334
FAM013733.fasta,WAG_sampling_seq_root_0.05,0.4292
FAM013846.fasta,WAG_sampling_seq_root_0.05,0.4570
FAM014058.fasta,WAG_sampling_seq_root_0.05,0.6951
FAM013215.fasta,WAG_sampling_seq_root_0.05,1.4246
FAM014243.fasta,WAG_sampling_seq_root_0.05,0.4008
FAM014246.fasta,WAG_sampling_seq_root_0.05,0.3957
FAM014203.fasta,WAG_sampling_seq_root_0.05,0.9904
FAM013551.fasta,WAG_sampling_seq_root_0.05,1.4551
FAM014261.fasta,WAG_sampling_seq_root_0.05,0.9062
FAM014269.fasta,WAG_sampling_seq_root_0.05,0.4620
FAM014315.fasta,WAG_sampling_seq_root_0.05,0.4697
FAM014320.fasta,WAG_sampling_seq_root_0.05,0.4594
FAM014456.fasta,WAG_sampling_seq_root_0.05,0.2131
FAM014263.fasta,WAG_sampling_seq_root_0.05,0.4119
FAM014482.fasta,WAG_sampling_seq_root_0.05,0.3300
FAM014364.fasta,WAG_sampling_seq_root_0.05,0.4727
FAM014518.fasta,WAG_sampling_seq_root_0.05,0.1265
FAM014428.fasta,WAG_sampling_seq_root_0.05,0.3792
FAM014513.fasta,WAG_sampling_seq_root_0.05,0.3279
FAM014552.fasta,WAG_sampling_seq_root_0.05,0.4976
FAM014562.fasta,WAG_sampling_seq_root_0.05,0.3836
FAM014575.fasta,WAG_sampling_seq_root_0.05,0.7973
FAM014601.fasta,WAG_sampling_seq_root_0.05,0.4303
FAM014632.fasta,WAG_sampling_seq_root_0.05,0.2365
FAM014683.fasta,WAG_sampling_seq_root_0.05,0.3689
FAM014455.fasta,WAG_sampling_seq_root_0.05,0.1954
FAM014668.fasta,WAG_sampling_seq_root_0.05,0.8046
FAM014698.fasta,WAG_sampling_seq_root_0.05,0.4564
FAM014720.fasta,WAG_sampling_seq_root_0.05,0.5751
FAM014697.fasta,WAG_sampling_seq_root_0.05,0.5652
FAM014702.fasta,WAG_sampling_seq_root_0.05,0.3447
FAM014750.fasta,WAG_sampling_seq_root_0.05,0.4188
FAM014811.fasta,WAG_sampling_seq_root_0.05,0.4368
FAM014818.fasta,WAG_sampling_seq_root_0.05,0.1692
FAM014860.fasta,WAG_sampling_seq_root_0.05,0.5453
FAM014882.fasta,WAG_sampling_seq_root_0.05,0.5219
FAM014813.fasta,WAG_sampling_seq_root_0.05,0.3115
FAM014886.fasta,WAG_sampling_seq_root_0.05,0.6591
FAM014897.fasta,WAG_sampling_seq_root_0.05,0.3911
FAM014900.fasta,WAG_sampling_seq_root_0.05,0.6813
FAM014677.fasta,WAG_sampling_seq_root_0.05,0.3261
FAM014909.fasta,WAG_sampling_seq_root_0.05,0.4873
FAM014723.fasta,WAG_sampling_seq_root_0.05,0.1535
