File,Simulation_Type,Average_Distance
FAM001460.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0,7.1584
FAM001395.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0,6.9064
FAM002889.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0,6.9190
FAM003254.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0,7.8669
FAM003092.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0,7.1231
FAM000162.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0,7.5304
FAM003436.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0,7.2362
FAM003742.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0,7.1763
FAM002855.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0,7.3633
FAM003984.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0,7.0514
FAM004005.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0,7.5806
FAM004287.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0,6.3437
FAM003979.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0,7.0387
FAM004568.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0,7.3645
FAM002486.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0,7.2351
FAM004230.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0,7.1508
FAM005630.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0,7.0721
FAM003440.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0,6.9672
FAM005791.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0,7.1699
FAM006786.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0,6.8265
FAM005368.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0,7.5769
FAM006991.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0,7.1910
FAM006868.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0,6.6824
FAM007266.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0,6.6207
FAM007965.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0,6.5654
FAM006455.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0,7.3122
FAM007035.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0,7.0972
FAM008137.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0,6.5245
FAM007551.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0,6.7457
FAM008280.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0,7.8198
FAM008210.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0,6.7829
FAM008956.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0,6.6839
FAM008420.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0,7.3410
FAM009320.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0,5.7387
FAM009650.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0,7.7775
FAM009083.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0,7.4871
FAM009714.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0,6.2210
FAM009365.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0,7.2761
FAM006259.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0,7.2947
FAM010218.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0,7.1691
FAM009901.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0,6.5563
FAM010199.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0,7.2680
FAM010916.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0,6.5892
FAM008183.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0,8.1594
FAM010324.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0,6.9182
FAM010935.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0,7.2870
FAM011393.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0,6.6365
FAM011513.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0,6.7610
FAM011705.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0,6.6529
FAM011841.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0,6.4262
FAM011952.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0,6.9307
FAM011992.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0,6.8001
FAM010908.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0,7.0042
FAM012463.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0,7.0637
FAM011968.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0,6.7734
FAM011182.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0,6.9102
FAM012052.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0,6.9550
FAM012720.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0,7.1411
FAM012556.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0,7.2654
FAM012140.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0,7.1156
FAM012882.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0,7.5263
FAM012802.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0,6.5117
FAM012799.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0,6.8489
FAM013137.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0,7.1056
FAM012865.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0,6.2351
FAM013064.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0,6.8522
FAM013161.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0,6.5214
FAM012910.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0,7.6350
FAM012607.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0,6.6257
FAM013190.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0,6.8799
FAM013310.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0,6.8502
FAM013698.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0,7.7612
FAM013846.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0,6.7831
FAM013595.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0,6.7149
FAM013215.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0,7.1413
FAM014243.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0,3.5652
FAM013733.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0,6.4069
FAM014246.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0,5.2969
FAM014058.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0,6.8469
FAM014203.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0,6.9673
FAM013551.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0,6.8260
FAM014269.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0,6.6132
FAM014261.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0,7.0115
FAM014320.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0,7.0257
FAM014315.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0,6.4465
FAM014364.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0,6.5795
FAM014263.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0,6.6457
FAM014456.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0,6.9196
FAM014482.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0,6.4744
