File,Simulation_Type,Average_Distance
FAM001460.fasta,WAG_sampling_seq_root_0,0.3116
FAM001395.fasta,WAG_sampling_seq_root_0,1.4782
FAM002889.fasta,WAG_sampling_seq_root_0,1.2000
FAM003092.fasta,WAG_sampling_seq_root_0,1.1725
FAM003254.fasta,WAG_sampling_seq_root_0,1.7929
FAM000162.fasta,WAG_sampling_seq_root_0,1.1103
FAM003436.fasta,WAG_sampling_seq_root_0,1.2202
FAM003742.fasta,WAG_sampling_seq_root_0,1.0403
FAM002855.fasta,WAG_sampling_seq_root_0,1.0554
FAM004005.fasta,WAG_sampling_seq_root_0,1.0700
FAM003984.fasta,WAG_sampling_seq_root_0,1.0152
FAM004287.fasta,WAG_sampling_seq_root_0,0.5394
FAM002486.fasta,WAG_sampling_seq_root_0,1.0289
FAM004568.fasta,WAG_sampling_seq_root_0,1.5129
FAM003979.fasta,WAG_sampling_seq_root_0,1.1160
FAM004230.fasta,WAG_sampling_seq_root_0,1.3530
FAM005630.fasta,WAG_sampling_seq_root_0,1.2398
FAM003440.fasta,WAG_sampling_seq_root_0,0.9008
FAM006786.fasta,WAG_sampling_seq_root_0,0.5384
FAM005791.fasta,WAG_sampling_seq_root_0,1.3806
FAM006991.fasta,WAG_sampling_seq_root_0,1.3185
FAM006455.fasta,WAG_sampling_seq_root_0,1.4701
FAM006868.fasta,WAG_sampling_seq_root_0,0.8366
FAM007266.fasta,WAG_sampling_seq_root_0,0.2287
FAM005368.fasta,WAG_sampling_seq_root_0,1.4394
FAM008137.fasta,WAG_sampling_seq_root_0,0.7012
FAM007035.fasta,WAG_sampling_seq_root_0,0.9800
FAM007965.fasta,WAG_sampling_seq_root_0,0.3409
FAM007551.fasta,WAG_sampling_seq_root_0,0.4939
FAM008210.fasta,WAG_sampling_seq_root_0,0.8336
FAM008280.fasta,WAG_sampling_seq_root_0,1.3569
FAM008420.fasta,WAG_sampling_seq_root_0,0.9325
FAM008956.fasta,WAG_sampling_seq_root_0,0.7328
FAM009320.fasta,WAG_sampling_seq_root_0,0.3548
FAM009650.fasta,WAG_sampling_seq_root_0,0.0545
FAM009714.fasta,WAG_sampling_seq_root_0,0.2615
FAM006259.fasta,WAG_sampling_seq_root_0,1.2614
FAM009083.fasta,WAG_sampling_seq_root_0,1.3626
FAM009365.fasta,WAG_sampling_seq_root_0,0.9511
FAM010218.fasta,WAG_sampling_seq_root_0,1.3099
FAM009901.fasta,WAG_sampling_seq_root_0,0.7453
FAM010916.fasta,WAG_sampling_seq_root_0,0.5746
FAM010935.fasta,WAG_sampling_seq_root_0,1.2075
FAM010199.fasta,WAG_sampling_seq_root_0,1.2667
FAM010324.fasta,WAG_sampling_seq_root_0,1.1861
FAM008183.fasta,WAG_sampling_seq_root_0,1.6024
FAM011393.fasta,WAG_sampling_seq_root_0,0.6900
FAM011513.fasta,WAG_sampling_seq_root_0,1.2181
FAM011705.fasta,WAG_sampling_seq_root_0,0.8009
FAM011841.fasta,WAG_sampling_seq_root_0,0.3697
FAM011992.fasta,WAG_sampling_seq_root_0,0.7239
FAM011952.fasta,WAG_sampling_seq_root_0,0.6973
FAM010908.fasta,WAG_sampling_seq_root_0,1.2515
FAM012463.fasta,WAG_sampling_seq_root_0,1.3146
FAM011182.fasta,WAG_sampling_seq_root_0,1.2838
FAM011968.fasta,WAG_sampling_seq_root_0,1.5285
FAM012052.fasta,WAG_sampling_seq_root_0,0.9443
FAM012556.fasta,WAG_sampling_seq_root_0,1.2847
FAM012802.fasta,WAG_sampling_seq_root_0,0.5072
FAM012720.fasta,WAG_sampling_seq_root_0,1.7145
FAM012799.fasta,WAG_sampling_seq_root_0,0.9998
FAM012882.fasta,WAG_sampling_seq_root_0,0.8039
FAM012140.fasta,WAG_sampling_seq_root_0,0.9732
FAM012865.fasta,WAG_sampling_seq_root_0,1.2928
FAM012910.fasta,WAG_sampling_seq_root_0,0.7790
FAM013137.fasta,WAG_sampling_seq_root_0,0.8336
FAM013161.fasta,WAG_sampling_seq_root_0,0.3316
FAM013064.fasta,WAG_sampling_seq_root_0,0.5937
FAM013190.fasta,WAG_sampling_seq_root_0,0.9362
FAM012607.fasta,WAG_sampling_seq_root_0,0.6272
FAM013310.fasta,WAG_sampling_seq_root_0,0.9584
FAM013698.fasta,WAG_sampling_seq_root_0,1.0323
FAM013595.fasta,WAG_sampling_seq_root_0,0.7651
FAM013846.fasta,WAG_sampling_seq_root_0,0.4514
FAM013733.fasta,WAG_sampling_seq_root_0,0.3347
FAM013215.fasta,WAG_sampling_seq_root_0,1.2300
FAM014243.fasta,WAG_sampling_seq_root_0,0.3593
FAM014246.fasta,WAG_sampling_seq_root_0,0.4045
FAM014058.fasta,WAG_sampling_seq_root_0,0.5575
FAM014203.fasta,WAG_sampling_seq_root_0,0.9212
FAM013551.fasta,WAG_sampling_seq_root_0,1.2777
FAM014269.fasta,WAG_sampling_seq_root_0,0.3793
FAM014261.fasta,WAG_sampling_seq_root_0,0.7889
FAM014320.fasta,WAG_sampling_seq_root_0,0.4521
FAM014315.fasta,WAG_sampling_seq_root_0,0.3837
FAM014456.fasta,WAG_sampling_seq_root_0,0.0855
FAM014263.fasta,WAG_sampling_seq_root_0,0.4491
FAM014482.fasta,WAG_sampling_seq_root_0,0.2890
FAM014518.fasta,WAG_sampling_seq_root_0,0.0570
FAM014513.fasta,WAG_sampling_seq_root_0,0.2555
FAM014364.fasta,WAG_sampling_seq_root_0,0.3981
FAM014562.fasta,WAG_sampling_seq_root_0,0.2373
FAM014552.fasta,WAG_sampling_seq_root_0,0.3278
FAM014428.fasta,WAG_sampling_seq_root_0,0.3756
FAM014575.fasta,WAG_sampling_seq_root_0,0.6125
FAM014601.fasta,WAG_sampling_seq_root_0,0.2451
FAM014455.fasta,WAG_sampling_seq_root_0,0.1583
FAM014632.fasta,WAG_sampling_seq_root_0,0.1602
FAM014683.fasta,WAG_sampling_seq_root_0,0.3163
FAM014668.fasta,WAG_sampling_seq_root_0,0.5608
FAM014698.fasta,WAG_sampling_seq_root_0,0.4659
FAM014702.fasta,WAG_sampling_seq_root_0,0.2949
FAM014720.fasta,WAG_sampling_seq_root_0,0.4969
FAM014697.fasta,WAG_sampling_seq_root_0,0.5026
FAM014750.fasta,WAG_sampling_seq_root_0,0.5495
FAM014811.fasta,WAG_sampling_seq_root_0,0.4026
FAM014818.fasta,WAG_sampling_seq_root_0,0.1795
FAM014860.fasta,WAG_sampling_seq_root_0,0.4685
FAM014882.fasta,WAG_sampling_seq_root_0,0.4726
FAM014813.fasta,WAG_sampling_seq_root_0,0.2551
FAM014897.fasta,WAG_sampling_seq_root_0,0.4845
FAM014886.fasta,WAG_sampling_seq_root_0,0.6369
FAM014900.fasta,WAG_sampling_seq_root_0,0.8102
FAM014677.fasta,WAG_sampling_seq_root_0,0.3344
FAM014909.fasta,WAG_sampling_seq_root_0,0.3526
FAM014723.fasta,WAG_sampling_seq_root_0,0.0798
FAM014922.fasta,WAG_sampling_seq_root_0,0.1272
FAM014929.fasta,WAG_sampling_seq_root_0,0.5866
FAM014923.fasta,WAG_sampling_seq_root_0,0.9009
FAM015039.fasta,WAG_sampling_seq_root_0,0.7509
FAM014911.fasta,WAG_sampling_seq_root_0,0.1613
FAM014907.fasta,WAG_sampling_seq_root_0,0.2221
FAM015052.fasta,WAG_sampling_seq_root_0,0.5565
FAM015061.fasta,WAG_sampling_seq_root_0,0.3518
FAM015021.fasta,WAG_sampling_seq_root_0,0.4780
FAM015005.fasta,WAG_sampling_seq_root_0,0.3876
FAM015105.fasta,WAG_sampling_seq_root_0,0.4427
FAM015083.fasta,WAG_sampling_seq_root_0,0.6657
FAM015096.fasta,WAG_sampling_seq_root_0,0.4087
FAM015171.fasta,WAG_sampling_seq_root_0,0.3518
FAM015234.fasta,WAG_sampling_seq_root_0,0.1608
FAM015133.fasta,WAG_sampling_seq_root_0,0.3591
FAM015204.fasta,WAG_sampling_seq_root_0,0.3178
FAM015178.fasta,WAG_sampling_seq_root_0,0.2282
FAM015247.fasta,WAG_sampling_seq_root_0,0.1835
FAM015251.fasta,WAG_sampling_seq_root_0,0.4113
FAM015279.fasta,WAG_sampling_seq_root_0,0.4112
FAM015327.fasta,WAG_sampling_seq_root_0,0.2655
FAM015306.fasta,WAG_sampling_seq_root_0,0.4012
FAM015231.fasta,WAG_sampling_seq_root_0,0.3593
FAM015331.fasta,WAG_sampling_seq_root_0,0.4198
FAM015269.fasta,WAG_sampling_seq_root_0,0.2231
FAM015403.fasta,WAG_sampling_seq_root_0,0.3156
FAM015447.fasta,WAG_sampling_seq_root_0,0.2682
FAM015397.fasta,WAG_sampling_seq_root_0,0.3700
FAM015361.fasta,WAG_sampling_seq_root_0,0.5612
FAM015462.fasta,WAG_sampling_seq_root_0,0.3380
FAM015510.fasta,WAG_sampling_seq_root_0,0.4953
FAM015526.fasta,WAG_sampling_seq_root_0,0.5070
FAM015471.fasta,WAG_sampling_seq_root_0,0.3640
FAM015555.fasta,WAG_sampling_seq_root_0,0.5007
FAM015440.fasta,WAG_sampling_seq_root_0,0.4078
FAM015557.fasta,WAG_sampling_seq_root_0,0.1391
FAM015584.fasta,WAG_sampling_seq_root_0,0.4545
FAM015675.fasta,WAG_sampling_seq_root_0,0.2254
FAM015627.fasta,WAG_sampling_seq_root_0,0.3382
FAM015586.fasta,WAG_sampling_seq_root_0,0.1422
FAM015696.fasta,WAG_sampling_seq_root_0,0.5885
FAM015650.fasta,WAG_sampling_seq_root_0,0.6513
FAM015707.fasta,WAG_sampling_seq_root_0,0.1713
FAM015706.fasta,WAG_sampling_seq_root_0,0.7480
FAM015595.fasta,WAG_sampling_seq_root_0,0.6096
FAM015734.fasta,WAG_sampling_seq_root_0,0.3122
FAM015778.fasta,WAG_sampling_seq_root_0,0.6410
FAM015713.fasta,WAG_sampling_seq_root_0,0.5085
FAM015735.fasta,WAG_sampling_seq_root_0,0.3821
FAM015709.fasta,WAG_sampling_seq_root_0,0.3074
FAM015801.fasta,WAG_sampling_seq_root_0,0.3079
FAM015785.fasta,WAG_sampling_seq_root_0,0.3285
FAM015721.fasta,WAG_sampling_seq_root_0,0.3006
FAM015812.fasta,WAG_sampling_seq_root_0,0.3987
FAM015809.fasta,WAG_sampling_seq_root_0,0.2328
FAM015816.fasta,WAG_sampling_seq_root_0,0.2862
FAM015805.fasta,WAG_sampling_seq_root_0,0.6280
FAM015821.fasta,WAG_sampling_seq_root_0,0.5473
FAM015829.fasta,WAG_sampling_seq_root_0,0.5135
FAM015826.fasta,WAG_sampling_seq_root_0,0.6504
FAM015854.fasta,WAG_sampling_seq_root_0,0.3537
FAM015815.fasta,WAG_sampling_seq_root_0,0.2178
FAM015823.fasta,WAG_sampling_seq_root_0,0.6206
FAM015851.fasta,WAG_sampling_seq_root_0,0.4640
FAM015855.fasta,WAG_sampling_seq_root_0,0.5634
FAM015873.fasta,WAG_sampling_seq_root_0,0.5686
FAM015878.fasta,WAG_sampling_seq_root_0,0.7216
FAM015865.fasta,WAG_sampling_seq_root_0,0.5637
FAM015892.fasta,WAG_sampling_seq_root_0,0.4727
FAM015890.fasta,WAG_sampling_seq_root_0,0.1497
FAM015926.fasta,WAG_sampling_seq_root_0,0.3221
FAM015904.fasta,WAG_sampling_seq_root_0,0.5180
FAM015937.fasta,WAG_sampling_seq_root_0,0.4266
FAM015981.fasta,WAG_sampling_seq_root_0,0.2330
FAM015950.fasta,WAG_sampling_seq_root_0,0.1249
FAM015985.fasta,WAG_sampling_seq_root_0,0.3979
FAM015966.fasta,WAG_sampling_seq_root_0,0.3255
FAM015983.fasta,WAG_sampling_seq_root_0,0.4567
FAM015986.fasta,WAG_sampling_seq_root_0,0.7727
FAM015996.fasta,WAG_sampling_seq_root_0,0.8961
FAM015882.fasta,WAG_sampling_seq_root_0,0.1516
FAM015853.fasta,WAG_sampling_seq_root_0,0.5984
FAM016009.fasta,WAG_sampling_seq_root_0,0.1936
FAM016002.fasta,WAG_sampling_seq_root_0,0.4712
FAM016029.fasta,WAG_sampling_seq_root_0,0.3304
FAM016005.fasta,WAG_sampling_seq_root_0,0.6085
FAM016036.fasta,WAG_sampling_seq_root_0,0.7754
FAM016011.fasta,WAG_sampling_seq_root_0,0.3431
FAM016019.fasta,WAG_sampling_seq_root_0,0.4510
FAM016039.fasta,WAG_sampling_seq_root_0,0.1492
FAM016123.fasta,WAG_sampling_seq_root_0,0.7158
FAM016070.fasta,WAG_sampling_seq_root_0,0.4206
FAM016079.fasta,WAG_sampling_seq_root_0,0.4811
FAM016146.fasta,WAG_sampling_seq_root_0,0.5907
FAM016075.fasta,WAG_sampling_seq_root_0,0.1277
FAM016149.fasta,WAG_sampling_seq_root_0,0.9382
FAM016161.fasta,WAG_sampling_seq_root_0,0.9209
FAM016216.fasta,WAG_sampling_seq_root_0,0.3909
FAM016219.fasta,WAG_sampling_seq_root_0,0.7052
FAM016230.fasta,WAG_sampling_seq_root_0,0.4595
FAM016224.fasta,WAG_sampling_seq_root_0,0.8299
FAM016206.fasta,WAG_sampling_seq_root_0,0.5316
FAM016246.fasta,WAG_sampling_seq_root_0,0.6153
FAM016223.fasta,WAG_sampling_seq_root_0,0.3547
FAM016180.fasta,WAG_sampling_seq_root_0,0.7829
FAM016301.fasta,WAG_sampling_seq_root_0,0.3482
FAM016335.fasta,WAG_sampling_seq_root_0,0.3308
FAM016367.fasta,WAG_sampling_seq_root_0,0.3773
FAM016364.fasta,WAG_sampling_seq_root_0,0.2034
FAM016401.fasta,WAG_sampling_seq_root_0,0.1676
FAM016412.fasta,WAG_sampling_seq_root_0,0.3469
FAM016415.fasta,WAG_sampling_seq_root_0,0.4096
FAM016361.fasta,WAG_sampling_seq_root_0,0.6636
FAM016436.fasta,WAG_sampling_seq_root_0,0.3867
FAM016438.fasta,WAG_sampling_seq_root_0,0.3385
FAM016456.fasta,WAG_sampling_seq_root_0,0.9380
FAM016232.fasta,WAG_sampling_seq_root_0,0.1496
