File,Simulation_Type,Average_Distance
FAM001460.fasta,WAG_sampling_seq_data2_root_0.5,7.1822
FAM001395.fasta,WAG_sampling_seq_data2_root_0.5,7.4690
FAM002889.fasta,WAG_sampling_seq_data2_root_0.5,7.6311
FAM003092.fasta,WAG_sampling_seq_data2_root_0.5,6.9792
FAM000162.fasta,WAG_sampling_seq_data2_root_0.5,7.6302
FAM003254.fasta,WAG_sampling_seq_data2_root_0.5,7.5567
FAM003436.fasta,WAG_sampling_seq_data2_root_0.5,6.8021
FAM003742.fasta,WAG_sampling_seq_data2_root_0.5,7.3411
FAM003984.fasta,WAG_sampling_seq_data2_root_0.5,7.9664
FAM004005.fasta,WAG_sampling_seq_data2_root_0.5,7.8067
FAM003979.fasta,WAG_sampling_seq_data2_root_0.5,6.9544
FAM002486.fasta,WAG_sampling_seq_data2_root_0.5,7.1616
FAM004287.fasta,WAG_sampling_seq_data2_root_0.5,6.7675
FAM002855.fasta,WAG_sampling_seq_data2_root_0.5,7.0937
FAM004230.fasta,WAG_sampling_seq_data2_root_0.5,6.9921
FAM004568.fasta,WAG_sampling_seq_data2_root_0.5,7.7951
FAM005630.fasta,WAG_sampling_seq_data2_root_0.5,7.6973
FAM005791.fasta,WAG_sampling_seq_data2_root_0.5,7.1642
FAM006786.fasta,WAG_sampling_seq_data2_root_0.5,6.8754
FAM005368.fasta,WAG_sampling_seq_data2_root_0.5,7.7854
FAM003440.fasta,WAG_sampling_seq_data2_root_0.5,6.6132
FAM006455.fasta,WAG_sampling_seq_data2_root_0.5,7.2563
FAM006991.fasta,WAG_sampling_seq_data2_root_0.5,7.7125
FAM007266.fasta,WAG_sampling_seq_data2_root_0.5,6.8361
FAM007965.fasta,WAG_sampling_seq_data2_root_0.5,7.0480
FAM006868.fasta,WAG_sampling_seq_data2_root_0.5,7.0643
FAM008137.fasta,WAG_sampling_seq_data2_root_0.5,6.8418
FAM007035.fasta,WAG_sampling_seq_data2_root_0.5,7.2642
FAM007551.fasta,WAG_sampling_seq_data2_root_0.5,7.6743
FAM008280.fasta,WAG_sampling_seq_data2_root_0.5,7.1264
FAM008210.fasta,WAG_sampling_seq_data2_root_0.5,6.7980
FAM008956.fasta,WAG_sampling_seq_data2_root_0.5,7.2738
FAM008420.fasta,WAG_sampling_seq_data2_root_0.5,7.2693
FAM006259.fasta,WAG_sampling_seq_data2_root_0.5,7.2443
FAM009320.fasta,WAG_sampling_seq_data2_root_0.5,7.0738
FAM009650.fasta,WAG_sampling_seq_data2_root_0.5,7.9170
FAM009714.fasta,WAG_sampling_seq_data2_root_0.5,6.5614
FAM009083.fasta,WAG_sampling_seq_data2_root_0.5,7.7131
FAM009365.fasta,WAG_sampling_seq_data2_root_0.5,7.1743
FAM010218.fasta,WAG_sampling_seq_data2_root_0.5,7.4499
FAM009901.fasta,WAG_sampling_seq_data2_root_0.5,6.5846
FAM010916.fasta,WAG_sampling_seq_data2_root_0.5,6.7562
FAM010324.fasta,WAG_sampling_seq_data2_root_0.5,6.9513
FAM010199.fasta,WAG_sampling_seq_data2_root_0.5,7.0130
FAM008183.fasta,WAG_sampling_seq_data2_root_0.5,7.4044
FAM011393.fasta,WAG_sampling_seq_data2_root_0.5,6.8040
FAM010935.fasta,WAG_sampling_seq_data2_root_0.5,6.9327
FAM011513.fasta,WAG_sampling_seq_data2_root_0.5,6.9993
FAM011705.fasta,WAG_sampling_seq_data2_root_0.5,7.0767
FAM011841.fasta,WAG_sampling_seq_data2_root_0.5,6.7730
FAM010908.fasta,WAG_sampling_seq_data2_root_0.5,7.2935
FAM011952.fasta,WAG_sampling_seq_data2_root_0.5,7.5906
FAM011992.fasta,WAG_sampling_seq_data2_root_0.5,6.6012
FAM012463.fasta,WAG_sampling_seq_data2_root_0.5,7.1419
FAM011182.fasta,WAG_sampling_seq_data2_root_0.5,6.9123
FAM012556.fasta,WAG_sampling_seq_data2_root_0.5,7.4547
FAM012052.fasta,WAG_sampling_seq_data2_root_0.5,7.0497
FAM011968.fasta,WAG_sampling_seq_data2_root_0.5,7.0567
FAM012802.fasta,WAG_sampling_seq_data2_root_0.5,6.7576
FAM012720.fasta,WAG_sampling_seq_data2_root_0.5,7.6225
FAM012140.fasta,WAG_sampling_seq_data2_root_0.5,7.1506
FAM012799.fasta,WAG_sampling_seq_data2_root_0.5,7.1516
FAM012882.fasta,WAG_sampling_seq_data2_root_0.5,7.1154
FAM013137.fasta,WAG_sampling_seq_data2_root_0.5,6.7741
FAM012865.fasta,WAG_sampling_seq_data2_root_0.5,7.0888
FAM013161.fasta,WAG_sampling_seq_data2_root_0.5,6.8001
FAM012607.fasta,WAG_sampling_seq_data2_root_0.5,6.5446
FAM013064.fasta,WAG_sampling_seq_data2_root_0.5,6.7495
FAM012910.fasta,WAG_sampling_seq_data2_root_0.5,7.4736
FAM013190.fasta,WAG_sampling_seq_data2_root_0.5,6.7700
FAM013595.fasta,WAG_sampling_seq_data2_root_0.5,6.8013
FAM013698.fasta,WAG_sampling_seq_data2_root_0.5,7.3599
FAM013310.fasta,WAG_sampling_seq_data2_root_0.5,6.7137
FAM013846.fasta,WAG_sampling_seq_data2_root_0.5,4.0392
FAM013733.fasta,WAG_sampling_seq_data2_root_0.5,7.0325
FAM014243.fasta,WAG_sampling_seq_data2_root_0.5,6.0584
FAM013215.fasta,WAG_sampling_seq_data2_root_0.5,6.9553
FAM014246.fasta,WAG_sampling_seq_data2_root_0.5,6.7183
FAM014203.fasta,WAG_sampling_seq_data2_root_0.5,7.3803
FAM014058.fasta,WAG_sampling_seq_data2_root_0.5,6.6629
FAM013551.fasta,WAG_sampling_seq_data2_root_0.5,7.3768
FAM014269.fasta,WAG_sampling_seq_data2_root_0.5,6.4805
FAM014261.fasta,WAG_sampling_seq_data2_root_0.5,6.8611
FAM014263.fasta,WAG_sampling_seq_data2_root_0.5,6.7030
FAM014315.fasta,WAG_sampling_seq_data2_root_0.5,6.6449
