File,Simulation_Type,Average_Distance
FAM001395.fasta,JTT92_frequencies,7.3135
FAM001460.fasta,JTT92_frequencies,6.5663
FAM002889.fasta,JTT92_frequencies,7.0841
FAM003092.fasta,JTT92_frequencies,6.7715
FAM003254.fasta,JTT92_frequencies,7.5846
FAM000162.fasta,JTT92_frequencies,7.1898
FAM003436.fasta,JTT92_frequencies,6.7630
FAM002855.fasta,JTT92_frequencies,7.1610
FAM003742.fasta,JTT92_frequencies,7.0706
FAM003984.fasta,JTT92_frequencies,7.2470
FAM004005.fasta,JTT92_frequencies,6.6291
FAM004287.fasta,JTT92_frequencies,6.2797
FAM004568.fasta,JTT92_frequencies,6.8894
FAM003979.fasta,JTT92_frequencies,7.1962
FAM004230.fasta,JTT92_frequencies,7.2963
FAM002486.fasta,JTT92_frequencies,7.1495
FAM005630.fasta,JTT92_frequencies,6.6738
FAM005368.fasta,JTT92_frequencies,7.6260
FAM005791.fasta,JTT92_frequencies,6.9175
FAM006786.fasta,JTT92_frequencies,6.4591
FAM006991.fasta,JTT92_frequencies,6.3156
FAM006455.fasta,JTT92_frequencies,6.9520
FAM007266.fasta,JTT92_frequencies,5.3299
FAM006868.fasta,JTT92_frequencies,6.7645
FAM003440.fasta,JTT92_frequencies,6.9559
FAM007965.fasta,JTT92_frequencies,6.6320
FAM007035.fasta,JTT92_frequencies,7.5092
FAM008137.fasta,JTT92_frequencies,6.8256
FAM007551.fasta,JTT92_frequencies,6.8185
FAM008210.fasta,JTT92_frequencies,7.2633
FAM008420.fasta,JTT92_frequencies,7.2406
FAM008280.fasta,JTT92_frequencies,8.2704
FAM009320.fasta,JTT92_frequencies,6.8397
FAM008956.fasta,JTT92_frequencies,7.2282
FAM009650.fasta,JTT92_frequencies,7.6808
FAM009714.fasta,JTT92_frequencies,5.5363
FAM009083.fasta,JTT92_frequencies,7.7406
FAM009365.fasta,JTT92_frequencies,7.3425
FAM010218.fasta,JTT92_frequencies,7.0141
FAM008183.fasta,JTT92_frequencies,7.7848
FAM009901.fasta,JTT92_frequencies,6.6095
FAM006259.fasta,JTT92_frequencies,7.9966
FAM010324.fasta,JTT92_frequencies,7.4459
FAM010199.fasta,JTT92_frequencies,7.4865
FAM010916.fasta,JTT92_frequencies,6.8578
FAM011393.fasta,JTT92_frequencies,6.8030
FAM011513.fasta,JTT92_frequencies,5.0521
FAM010935.fasta,JTT92_frequencies,7.0821
FAM010908.fasta,JTT92_frequencies,7.2404
FAM011841.fasta,JTT92_frequencies,6.4983
FAM011705.fasta,JTT92_frequencies,6.9037
FAM011952.fasta,JTT92_frequencies,6.9146
FAM011992.fasta,JTT92_frequencies,6.8385
FAM012463.fasta,JTT92_frequencies,7.1763
FAM012052.fasta,JTT92_frequencies,7.1477
FAM012556.fasta,JTT92_frequencies,6.8462
FAM011968.fasta,JTT92_frequencies,7.4681
FAM012720.fasta,JTT92_frequencies,6.8514
