File,Simulation_Type,Average_Distance
FAM001395.fasta,WAG_frequencies_sampling_seq_data2,7.0884
FAM001460.fasta,WAG_frequencies_sampling_seq_data2,6.4881
FAM002889.fasta,WAG_frequencies_sampling_seq_data2,7.2533
FAM003092.fasta,WAG_frequencies_sampling_seq_data2,6.8659
FAM003254.fasta,WAG_frequencies_sampling_seq_data2,7.7808
FAM003436.fasta,WAG_frequencies_sampling_seq_data2,7.0815
FAM000162.fasta,WAG_frequencies_sampling_seq_data2,7.4703
FAM003742.fasta,WAG_frequencies_sampling_seq_data2,6.9516
FAM002855.fasta,WAG_frequencies_sampling_seq_data2,7.1987
FAM002486.fasta,WAG_frequencies_sampling_seq_data2,7.0340
FAM003979.fasta,WAG_frequencies_sampling_seq_data2,6.8605
FAM003984.fasta,WAG_frequencies_sampling_seq_data2,6.8798
FAM004005.fasta,WAG_frequencies_sampling_seq_data2,7.2573
FAM004287.fasta,WAG_frequencies_sampling_seq_data2,6.4260
FAM004568.fasta,WAG_frequencies_sampling_seq_data2,7.5592
FAM004230.fasta,WAG_frequencies_sampling_seq_data2,7.2341
FAM005630.fasta,WAG_frequencies_sampling_seq_data2,7.1936
FAM005791.fasta,WAG_frequencies_sampling_seq_data2,7.2661
FAM006786.fasta,WAG_frequencies_sampling_seq_data2,7.5488
FAM003440.fasta,WAG_frequencies_sampling_seq_data2,7.1466
FAM006991.fasta,WAG_frequencies_sampling_seq_data2,6.9615
FAM006455.fasta,WAG_frequencies_sampling_seq_data2,6.8252
FAM005368.fasta,WAG_frequencies_sampling_seq_data2,7.0041
FAM007266.fasta,WAG_frequencies_sampling_seq_data2,7.0068
FAM006868.fasta,WAG_frequencies_sampling_seq_data2,6.5533
FAM007965.fasta,WAG_frequencies_sampling_seq_data2,7.0903
FAM007551.fasta,WAG_frequencies_sampling_seq_data2,5.1021
FAM008137.fasta,WAG_frequencies_sampling_seq_data2,6.7479
FAM007035.fasta,WAG_frequencies_sampling_seq_data2,6.9728
FAM008280.fasta,WAG_frequencies_sampling_seq_data2,7.6960
FAM008210.fasta,WAG_frequencies_sampling_seq_data2,6.7932
FAM008956.fasta,WAG_frequencies_sampling_seq_data2,6.9587
FAM008420.fasta,WAG_frequencies_sampling_seq_data2,7.4928
FAM009320.fasta,WAG_frequencies_sampling_seq_data2,6.7130
FAM009650.fasta,WAG_frequencies_sampling_seq_data2,8.8759
FAM009714.fasta,WAG_frequencies_sampling_seq_data2,6.6034
FAM009083.fasta,WAG_frequencies_sampling_seq_data2,7.4104
FAM009365.fasta,WAG_frequencies_sampling_seq_data2,6.8040
FAM010218.fasta,WAG_frequencies_sampling_seq_data2,7.3092
FAM006259.fasta,WAG_frequencies_sampling_seq_data2,7.6628
FAM009901.fasta,WAG_frequencies_sampling_seq_data2,6.5803
FAM008183.fasta,WAG_frequencies_sampling_seq_data2,7.3051
FAM010916.fasta,WAG_frequencies_sampling_seq_data2,6.8732
FAM010199.fasta,WAG_frequencies_sampling_seq_data2,7.4892
FAM011393.fasta,WAG_frequencies_sampling_seq_data2,6.4019
FAM010935.fasta,WAG_frequencies_sampling_seq_data2,6.9972
FAM010324.fasta,WAG_frequencies_sampling_seq_data2,7.0440
FAM011513.fasta,WAG_frequencies_sampling_seq_data2,5.5645
FAM011705.fasta,WAG_frequencies_sampling_seq_data2,6.7162
FAM011841.fasta,WAG_frequencies_sampling_seq_data2,6.5609
FAM011952.fasta,WAG_frequencies_sampling_seq_data2,6.7567
FAM011992.fasta,WAG_frequencies_sampling_seq_data2,6.6727
FAM011182.fasta,WAG_frequencies_sampling_seq_data2,7.2870
FAM010908.fasta,WAG_frequencies_sampling_seq_data2,7.8809
FAM012463.fasta,WAG_frequencies_sampling_seq_data2,7.1024
FAM012556.fasta,WAG_frequencies_sampling_seq_data2,7.0022
FAM012720.fasta,WAG_frequencies_sampling_seq_data2,7.3328
FAM011968.fasta,WAG_frequencies_sampling_seq_data2,7.4777
FAM012052.fasta,WAG_frequencies_sampling_seq_data2,7.3640
FAM012802.fasta,WAG_frequencies_sampling_seq_data2,6.5669
FAM012799.fasta,WAG_frequencies_sampling_seq_data2,7.0448
FAM012882.fasta,WAG_frequencies_sampling_seq_data2,8.0030
FAM012865.fasta,WAG_frequencies_sampling_seq_data2,7.6054
FAM012140.fasta,WAG_frequencies_sampling_seq_data2,7.1399
FAM012607.fasta,WAG_frequencies_sampling_seq_data2,6.8273
FAM012910.fasta,WAG_frequencies_sampling_seq_data2,7.0120
FAM013137.fasta,WAG_frequencies_sampling_seq_data2,6.6011
FAM013161.fasta,WAG_frequencies_sampling_seq_data2,6.6062
FAM013064.fasta,WAG_frequencies_sampling_seq_data2,6.6515
FAM013190.fasta,WAG_frequencies_sampling_seq_data2,6.9451
FAM013595.fasta,WAG_frequencies_sampling_seq_data2,6.7955
FAM013698.fasta,WAG_frequencies_sampling_seq_data2,6.6399
FAM013310.fasta,WAG_frequencies_sampling_seq_data2,6.8373
FAM013846.fasta,WAG_frequencies_sampling_seq_data2,5.5673
FAM013733.fasta,WAG_frequencies_sampling_seq_data2,6.8123
FAM014058.fasta,WAG_frequencies_sampling_seq_data2,6.8542
FAM013215.fasta,WAG_frequencies_sampling_seq_data2,7.6257
FAM014243.fasta,WAG_frequencies_sampling_seq_data2,6.8123
FAM014246.fasta,WAG_frequencies_sampling_seq_data2,6.5555
FAM014203.fasta,WAG_frequencies_sampling_seq_data2,7.3825
FAM013551.fasta,WAG_frequencies_sampling_seq_data2,7.0694
FAM014269.fasta,WAG_frequencies_sampling_seq_data2,4.3676
FAM014261.fasta,WAG_frequencies_sampling_seq_data2,6.9423
FAM014320.fasta,WAG_frequencies_sampling_seq_data2,6.7312
FAM014315.fasta,WAG_frequencies_sampling_seq_data2,6.7554
FAM014456.fasta,WAG_frequencies_sampling_seq_data2,6.7206
FAM014263.fasta,WAG_frequencies_sampling_seq_data2,6.6501
FAM014364.fasta,WAG_frequencies_sampling_seq_data2,6.9927
FAM014482.fasta,WAG_frequencies_sampling_seq_data2,7.2249
FAM014518.fasta,WAG_frequencies_sampling_seq_data2,7.2583
FAM014562.fasta,WAG_frequencies_sampling_seq_data2,6.9968
FAM014552.fasta,WAG_frequencies_sampling_seq_data2,6.9279
FAM014513.fasta,WAG_frequencies_sampling_seq_data2,6.9271
FAM014428.fasta,WAG_frequencies_sampling_seq_data2,6.5649
FAM014601.fasta,WAG_frequencies_sampling_seq_data2,6.8286
FAM014575.fasta,WAG_frequencies_sampling_seq_data2,5.1268
FAM014632.fasta,WAG_frequencies_sampling_seq_data2,6.7332
