File,Simulation_Type,Average_Distance
FAM001460.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0.1,6.6147
FAM001395.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0.1,6.7043
FAM002889.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0.1,6.8227
FAM003092.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0.1,6.7928
FAM003254.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0.1,6.9010
FAM000162.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0.1,6.5787
FAM003436.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0.1,6.9732
FAM003742.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0.1,6.8121
FAM002855.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0.1,7.0547
FAM003984.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0.1,6.8610
FAM004005.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0.1,6.6896
FAM003979.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0.1,6.9500
FAM002486.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0.1,6.9733
FAM004568.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0.1,6.7898
FAM004287.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0.1,6.3136
FAM004230.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0.1,6.8697
FAM005630.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0.1,7.1348
FAM005791.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0.1,7.4284
FAM003440.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0.1,6.5184
FAM006786.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0.1,6.4116
FAM006455.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0.1,6.7096
FAM006991.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0.1,6.6310
FAM005368.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0.1,7.4492
FAM007266.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0.1,6.6684
FAM007965.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0.1,6.5030
FAM007035.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0.1,6.8021
FAM006868.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0.1,6.0671
FAM007551.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0.1,6.8890
FAM008137.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0.1,6.8870
FAM008280.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0.1,7.5600
FAM008210.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0.1,6.8569
FAM008420.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0.1,7.0152
FAM009320.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0.1,6.4945
FAM008956.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0.1,6.5602
FAM009650.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0.1,6.6537
FAM009083.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0.1,6.8275
FAM006259.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0.1,7.1536
FAM009365.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0.1,7.0369
FAM009714.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0.1,6.8628
FAM010218.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0.1,7.0178
FAM009901.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0.1,6.6097
FAM010916.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0.1,6.4691
FAM010324.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0.1,6.8041
FAM010199.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0.1,7.1870
FAM008183.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0.1,7.1748
FAM010935.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0.1,7.2606
FAM011393.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0.1,6.6195
FAM011513.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0.1,6.8161
FAM011705.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0.1,6.8091
FAM011841.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0.1,6.7922
FAM010908.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0.1,7.2491
FAM011992.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0.1,6.8221
FAM011952.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0.1,7.2008
FAM012463.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0.1,7.1002
FAM012556.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0.1,7.3436
FAM011968.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0.1,7.0817
FAM012052.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0.1,7.1444
FAM011182.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0.1,6.9783
FAM012802.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0.1,6.4783
FAM012799.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0.1,6.9786
FAM012720.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0.1,7.4050
FAM012140.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0.1,6.8738
FAM012882.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0.1,6.4550
FAM012865.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0.1,6.8919
FAM012607.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0.1,6.7464
FAM013137.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0.1,6.4712
FAM013161.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0.1,6.8882
FAM013064.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0.1,6.7196
FAM012910.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0.1,6.9400
FAM013190.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0.1,6.9928
FAM013310.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0.1,7.0926
FAM013595.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0.1,6.4933
FAM013698.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0.1,6.4225
FAM013846.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0.1,6.5631
FAM014058.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0.1,6.7526
FAM013215.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0.1,6.8824
FAM013733.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0.1,6.8306
FAM014243.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0.1,5.6107
FAM014203.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0.1,6.7521
FAM014246.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0.1,5.7155
FAM013551.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0.1,7.1060
FAM014269.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0.1,6.8729
FAM014261.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0.1,6.9807
FAM014315.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0.1,6.3861
FAM014320.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0.1,6.6827
FAM014456.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0.1,6.3746
FAM014263.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0.1,6.5918
FAM014482.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0.1,6.6298
FAM014364.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0.1,6.5903
FAM014428.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0.1,6.5200
FAM014518.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0.1,6.9370
FAM014513.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0.1,6.4607
FAM014575.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0.1,3.9133
FAM014562.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0.1,6.8298
FAM014552.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0.1,6.8328
FAM014601.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0.1,6.5073
FAM014632.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0.1,6.7318
FAM014683.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0.1,5.5889
FAM014668.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0.1,5.0244
FAM014455.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0.1,6.5583
FAM014698.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0.1,6.6010
FAM014720.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0.1,6.6552
FAM014702.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0.1,6.4590
FAM014697.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0.1,6.8788
FAM014750.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0.1,6.0840
FAM014811.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0.1,6.8315
FAM014818.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0.1,6.3647
FAM014860.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0.1,5.5539
FAM014882.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0.1,6.7413
FAM014813.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0.1,6.5309
FAM014886.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0.1,6.8818
FAM014897.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0.1,6.8163
FAM014900.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0.1,6.4658
FAM014677.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0.1,6.7299
FAM014909.fasta,WAG_frequencies_posterior_extra_length_data2_ext_0.1,6.6014
